test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,minority_class_ratio,imbalance_scenario
0.999990782309225,0.9999907823006225,0.9999907821678122,0.9999907823185127,0.9999907823006225,kddcup,0,XGB,True,4.0484190923444395e-06,natural
0.9998218577257875,0.9145330449191282,0.9180545636002776,0.9322257241549096,0.9145330449191282,kddcup,0,XGB,False,4.0484190923444395e-06,natural
0.9999907823099273,0.99999078231256,0.9999907821648224,0.9999907824438523,0.99999078231256,kddcup,1,XGB,True,4.0484190923444395e-06,natural
0.9998259064235239,0.9129156546954423,0.9226277802921814,0.9497733326337604,0.9129156546954423,kddcup,1,XGB,False,4.0484190923444395e-06,natural
0.9999903633239989,0.9999903633326004,0.9999903631669578,0.9999903633833085,0.9999903633326004,kddcup,2,XGB,True,4.0484190923444395e-06,natural
0.999840076660702,0.9149333280186057,0.9192016724130168,0.9277308380507946,0.9149333280186057,kddcup,2,XGB,False,4.0484190923444395e-06,natural
0.9999903633243499,0.9999903633355847,0.9999903631669521,0.9999903635116416,0.9999903633355847,kddcup,3,XGB,True,4.0484190923444395e-06,natural
0.9998441253748304,0.9024155298476968,0.9062729805260639,0.9179185259108366,0.9024155298476968,kddcup,3,XGB,False,4.0484190923444395e-06,natural
0.9999901538304203,0.9999901538291911,0.9999901536531007,0.9999901539157049,0.9999901538291911,kddcup,4,XGB,True,4.0484190923444395e-06,natural
0.9998299550393005,0.9140331236008101,0.9200227644827421,0.9321330047189722,0.9140331236008101,kddcup,4,XGB,False,4.0484190923444395e-06,natural
0.9999916202809062,0.9999916202724795,0.9999916201844353,0.9999916203500591,0.9999916202724795,kddcup,5,XGB,True,4.0484190923444395e-06,natural
0.9998097115997943,0.9064131338496471,0.9162922911956726,0.9369335269333653,0.9064131338496471,kddcup,5,XGB,False,4.0484190923444395e-06,natural
0.9989472978575469,0.9989472978385344,0.9989475004585975,0.9989489424270432,0.9989472978385344,kddcup,0,NN,True,4.0484190923444395e-06,natural
0.9990222416030159,0.9091153937010081,0.8971737455270905,0.894311104715787,0.9091153937010081,kddcup,0,NN,False,4.0484190923444395e-06,natural
0.9988846594694203,0.9988846595899663,0.9988846654145505,0.9988858138849461,0.9988846595899663,kddcup,1,NN,True,4.0484190923444395e-06,natural
0.9990404602428753,0.9068515761527022,0.8908298712728301,0.8862113484592969,0.9068515761527022,kddcup,1,NN,False,4.0484190923444395e-06,natural
0.9990002995661611,0.9990002994913265,0.9990002843898584,0.9990017211056559,0.9990002994913265,kddcup,2,NN,True,4.0484190923444395e-06,natural
0.9991295316914286,0.902988834818806,0.8852680918972087,0.875123522508108,0.902988834818806,kddcup,2,NN,False,4.0484190923444395e-06,natural
0.9986565214954667,0.9986565245676856,0.9986566774827339,0.9986665125816353,0.9986565245676856,kddcup,3,NN,True,4.0484190923444395e-06,natural
0.9990910693989675,0.9066094688305918,0.8879488447612978,0.8819947900791743,0.9066094688305918,kddcup,3,NN,False,4.0484190923444395e-06,natural
0.9988218116303739,0.9988218102413688,0.9988219113499386,0.9988296872023321,0.9988218102413688,kddcup,4,NN,True,4.0484190923444395e-06,natural
0.9991679943117289,0.901198227080325,0.8970764718492257,0.9002020906488979,0.901198227080325,kddcup,4,NN,False,4.0484190923444395e-06,natural
0.9988544925025913,0.998854490731944,0.9988547264311529,0.9988614190744565,0.998854490731944,kddcup,5,NN,True,4.0484190923444395e-06,natural
0.9990910688088572,0.9010526372674268,0.8809935377659118,0.8692037489875739,0.9010526372674268,kddcup,5,NN,False,4.0484190923444395e-06,natural
