Unnamed: 0,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
1298,0.9873684210526316,0.9877145438121048,0.9855981416957028,0.9811684628474192,0.9902439024390244,clean1,1,NB,True,1
1299,0.9789473684210526,0.9791327913279132,0.9758420441347272,0.9714123652864436,0.9804878048780488,clean1,1,NB,False,1
1300,0.9852631578947368,0.9858626919602528,0.983131130794957,0.9762958161143074,0.9902439024390244,clean1,2,NB,True,1
1301,0.9852631578947368,0.9864498644986452,0.9833012229281956,0.9721832620017532,0.9951219512195122,clean1,2,NB,False,1
1302,0.9832017543859648,0.983446798978322,0.980777464042288,0.9763012181616834,0.9854819976771196,clean1,3,NB,True,1
1303,0.9790131578947368,0.9786848942164174,0.975901489556108,0.9760743321718932,0.97595818815331,clean1,3,NB,False,1
1304,0.985328947368421,0.9858626919602528,0.9833466251386882,0.977026713124274,0.9902439024390244,clean1,4,NB,True,1
1305,0.9726973684210528,0.9729900632339656,0.9687124787972248,0.9623925667828108,0.975609756097561,clean1,4,NB,False,1
1306,0.987390350877193,0.9877145438121048,0.9855400943803913,0.980946978905005,0.9902439024390244,clean1,5,NB,True,1
1307,0.987390350877193,0.9877145438121048,0.9855400943803913,0.980946978905005,0.9902439024390244,clean1,5,NB,False,1
1308,0.9516447368421052,0.9504075997633292,0.9438423047629168,0.9463828410198234,0.9416957026713124,clean1,0,NB,True,5
1309,0.9516666666666668,0.9510179037100344,0.9443108028906811,0.9424254607181436,0.9466898954703832,clean1,0,NB,False,5
1310,0.949561403508772,0.9469802555168408,0.940899596005602,0.9554260651629072,0.9272938443670152,clean1,1,NB,True,5
1311,0.9348245614035088,0.9339592205445864,0.9254399808703968,0.9248070146907356,0.927177700348432,clean1,1,NB,False,5
1312,0.9516008771929824,0.9500177746611248,0.943905308527366,0.9516083814186628,0.9372822299651566,clean1,2,NB,True,5
1313,0.9221929824561405,0.9212489986535086,0.9115052842406272,0.9122293495977706,0.9130081300813008,clean1,2,NB,False,5
1314,0.949561403508772,0.9480729101990032,0.9415923626018116,0.946781551781552,0.9371660859465738,clean1,3,NB,True,5
1315,0.9432894736842105,0.9419882541143472,0.9340479158011356,0.9373986247670458,0.9324041811846692,clean1,3,NB,False,5
1316,0.9559429824561404,0.9542973286875724,0.9486112402682666,0.9559447398985268,0.9419279907084784,clean1,4,NB,True,5
1317,0.9348684210526316,0.9338662079343166,0.9251346667291064,0.9240525254765336,0.927061556329849,clean1,4,NB,False,5
1318,0.9559210526315788,0.9537564189658068,0.9486131284720764,0.9606959706959708,0.9372822299651566,clean1,5,NB,True,5
1319,0.955877192982456,0.9555179365809828,0.9491997949150438,0.9473035094986316,0.9519163763066204,clean1,5,NB,False,5
1320,0.9180482456140352,0.9189815119175452,0.9071702244116038,0.8886304909560723,0.927061556329849,clean1,0,NB,True,10
1321,0.9180263157894736,0.9167258343742468,0.9054605744869934,0.9042539223322577,0.9076655052264808,clean1,0,NB,False,10
1322,0.8991228070175439,0.900175311726163,0.8872838014698481,0.8694328602839242,0.907897793263647,clean1,1,NB,True,10
1323,0.8864912280701753,0.8861864099323832,0.872407314298697,0.8651011707745535,0.883623693379791,clean1,1,NB,False,10
1324,0.9179824561403508,0.9191439187527544,0.9078756986799704,0.8897202561509943,0.927526132404181,clean1,2,NB,True,10
1325,0.9095394736842106,0.9117365113453472,0.9012204908927216,0.8807801346332902,0.927526132404181,clean1,2,NB,False,10
1326,0.905438596491228,0.905799774529641,0.8936783182204788,0.8814518528339201,0.9085946573751452,clean1,3,NB,True,10
1327,0.8885964912280702,0.8874619244844741,0.8737903630384061,0.8709298167304886,0.8793263646922183,clean1,3,NB,False,10
1328,0.9096710526315788,0.9099051125282142,0.8974246766020759,0.8858519423074036,0.9128919860627178,clean1,4,NB,True,10
1329,0.9075657894736844,0.9074660881379704,0.8949125643632518,0.885682434820823,0.9080139372822298,clean1,4,NB,False,10
