Unnamed: 0,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,diff_test_accuracy,diff_test_balanced_accuracy,diff_test_f1,diff_test_precision,diff_test_recall
27.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.1050000000000001,-0.1050000000000001,-0.1092301713066348,-0.1133625051033734,-0.1049999999999999,,,,,
28.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.081875,-0.081875,-0.0970400415198273,-0.0902918836834754,-0.1024999999999999,,,,,
29.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.0875,-0.0875,-0.0873763229467149,-0.0964373474485775,-0.0799999999999999,,,,,
30.0,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
31.0,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
32.0,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
33.0,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
34.0,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
35.0,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
36.0,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
37.0,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
38.0,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
39.0,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
40.0,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
41.0,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
42.0,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
43.0,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
44.0,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
45.0,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
46.0,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
47.0,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
48.0,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
49.0,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
50.0,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
51.0,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
52.0,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
53.0,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
54.0,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
55.0,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
56.0,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
57.0,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
58.0,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
59.0,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
60.0,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
61.0,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
62.0,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
63.0,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
64.0,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
65.0,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0,,,,,
66.0,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
67.0,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
68.0,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
69.0,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
70.0,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
71.0,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0,,,,,
72.0,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
73.0,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
74.0,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
75.0,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
76.0,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
77.0,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0,,,,,
78.0,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
79.0,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
80.0,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
81.0,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
82.0,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
83.0,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0,,,,,
84.0,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
85.0,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
86.0,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
87.0,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
88.0,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
89.0,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0,,,,,
90.0,ring,KNN,feat,0.0031081081081081,0.0031761424963154,0.0008810765153982,0.0049346075866775,-0.0040160642570281,,,,,
91.0,ring,KNN,feat,0.0009459459459459,0.0009981711353164,-0.0007468424980227,0.0022173735503476,-0.0042770010523376,,,,,
92.0,ring,KNN,feat,0.0028378378378378,0.0028582745680493,0.0020947445569725,0.0027781175518029,0.0010698766545683,,,,,
93.0,ring,KNN,feat,0.0055405405405405,0.005535197098848,0.0054829068971793,0.0045639862745712,0.0066988094982424,,,,,
94.0,ring,KNN,feat,0.0049999999999998,0.0050375216189907,0.0036186450664067,0.005718803608143,0.0010709504685407,,,,,
95.0,ring,KNN,feat,0.0035135135135134,0.0035640863705505,0.0020574167464468,0.0044831736071706,-0.0010659393366694,,,,,
96.0,ring,SVC,feat,-0.0454054054054053,-0.0445580411687679,-0.0795031602223749,-0.0363632469609888,-0.1341365461847389,,,,,
97.0,ring,SVC,feat,-0.0047297297297296,-0.0054332144628733,0.0640275518028474,0.0407855504996019,0.0756147584992377,,,,,
98.0,ring,SVC,feat,0.021081081081081,0.0199757235116013,0.0783893603217308,0.0383216226173893,0.1305951077035414,,,,,
99.0,ring,SVC,feat,-0.0586486486486487,-0.0585036384450002,-0.04906284301679,-0.050039794406037,-0.0738848441895925,,,,,
100.0,ring,SVC,feat,-0.0048648648648648,-0.0049445622416907,0.0390901403161195,0.0403822256039296,0.0034805890227577,,,,,
101.0,ring,SVC,feat,-0.0054054054054053,-0.0044720098252543,-0.0364817918817526,0.0115895506690172,-0.1020194861442205,,,,,
102.0,ring,NB,feat,0.0012162162162161,0.0012150466349254,0.0011216726659982,0.0009918850298022,0.001338688085676,,,,,
103.0,ring,NB,feat,0.0014864864864865,0.0014663688409964,0.0017425222558477,0.0005873989758442,0.0032081982117417,,,,,
104.0,ring,NB,feat,0.0013513513513513,0.0012910542545412,0.0024454938664409,-0.0008608852131758,0.0074934318378685,,,,,
105.0,ring,NB,feat,-0.0031081081081081,-0.0031441187818086,-0.0019060722086926,-0.0036615730993964,0.0008014231614513,,,,,
106.0,ring,NB,feat,0.0014864864864865,0.001498125288786,0.001129538767551,0.0017161756213647,0.0002677376171352,,,,,
107.0,ring,NB,feat,0.0025675675675675,0.0025592661365924,0.0025003000969939,0.0016060675513938,0.0037486845778836,,,,,
108.0,ring,DT,feat,0.0017567567567567,0.0017786471031921,0.0009614314115491,0.0024585663413835,-0.0005354752342704,,,,,
109.0,ring,DT,feat,0.018108108108108,0.0181234651913665,0.0170643552454586,0.0183892770665082,0.0157879288991974,,,,,
110.0,ring,DT,feat,0.0033783783783783,0.0034396759571142,0.0011187745492673,0.0046802697247987,-0.0024125020581434,,,,,
111.0,ring,DT,feat,0.0155405405405405,0.0156633154730481,0.0112369297194959,0.0188853476196676,0.0037526218957827,,,,,
