,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,task
0,0.503125,0.503243327732406,0.5046728971962617,0.5126582278481012,0.4969325153374233,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,feat
1,0.48125,0.4812470698546648,0.4779874213836478,0.475,0.4810126582278481,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,feat
2,0.525,0.5250156347717323,0.5189873417721518,0.5125,0.5256410256410257,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,feat
3,0.465625,0.4623664362036455,0.4203389830508475,0.4217687074829932,0.4189189189189189,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,feat
4,0.534375,0.5346041055718476,0.5386996904024769,0.5506329113924051,0.5272727272727272,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,feat
5,0.471875,0.4726295210166178,0.4767801857585139,0.4583333333333333,0.4967741935483871,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,feat
6,0.8004910988336402,0.7985765608018356,0.7828991315965265,0.8218793828892006,0.7474489795918368,agaricus_lepiota,0,LR,feat
7,0.809085328422345,0.8090698060023214,0.8040327662255828,0.8253557567917206,0.7837837837837838,agaricus_lepiota,1,LR,feat
8,0.7955801104972375,0.7941316750686751,0.7804878048780488,0.8087431693989071,0.7541401273885351,agaricus_lepiota,2,LR,feat
9,0.7894413750767342,0.7885142087582846,0.7750819672131148,0.7766097240473062,0.7735602094240838,agaricus_lepiota,3,LR,feat
10,0.809085328422345,0.8086144858121802,0.8012779552715654,0.81640625,0.7867001254705144,agaricus_lepiota,4,LR,feat
11,0.7980356046654389,0.7972623795531475,0.7873303167420815,0.8076923076923077,0.7679697351828499,agaricus_lepiota,5,LR,feat
12,0.8646153846153846,0.8655574718937071,0.858974358974359,0.8385481852315394,0.8804204993429697,mushroom,0,LR,feat
13,0.7163076923076923,0.7097985523226322,0.6607799852832965,0.7636054421768708,0.582360570687419,mushroom,1,LR,feat
14,0.6781538461538461,0.6749147533530349,0.6145910095799557,0.7419928825622776,0.5245283018867924,mushroom,2,LR,feat
15,0.707076923076923,0.7028268840586303,0.6540697674418604,0.7627118644067796,0.5725190839694656,mushroom,3,LR,feat
16,0.7058461538461539,0.7041651895416519,0.6531204644412193,0.782608695652174,0.5603985056039851,mushroom,4,LR,feat
17,0.8726153846153846,0.8750148156927817,0.8718266253869968,0.8301886792452831,0.9178617992177314,mushroom,5,LR,feat
18,0.6162162162162163,0.612166918049271,0.6635071090047392,0.6067172264355363,0.7320261437908496,ring,0,LR,feat
19,0.6182432432432432,0.6192433008971099,0.6484131922837586,0.5954285714285714,0.7117486338797814,ring,1,LR,feat
20,0.6074324324324324,0.6066450679737894,0.6437768240343348,0.5932203389830508,0.7037533512064343,ring,2,LR,feat
21,0.6148648648648649,0.6121109789324226,0.6570397111913356,0.6046511627906976,0.7193675889328063,ring,3,LR,feat
22,0.6195945945945946,0.6189152170935488,0.6556574923547401,0.6022471910112359,0.7194630872483222,ring,4,LR,feat
23,0.5945945945945946,0.5982977525728352,0.6359223300970874,0.5640473627556513,0.7287899860917941,ring,5,LR,feat
24,0.7385135135135135,0.7381653557709895,0.7482108002602472,0.7496740547588006,0.7467532467532467,twonorm,0,LR,feat
25,0.7412162162162163,0.7413900807154248,0.7410412440838405,0.7527472527472527,0.729693741677763,twonorm,1,LR,feat
26,0.7405405405405405,0.7405694834034595,0.7408906882591094,0.7359249329758714,0.7459239130434783,twonorm,2,LR,feat
27,0.731081081081081,0.7312855043537385,0.7350199733688416,0.745945945945946,0.7244094488188977,twonorm,3,LR,feat
28,0.7290540540540541,0.7293444587327567,0.730691739422431,0.7148488830486203,0.7472527472527473,twonorm,4,LR,feat
