,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,task
0,0.678125,0.6784221015200655,0.677115987460815,0.6923076923076923,0.6625766871165644,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,feat
1,0.65625,0.655883731833099,0.6428571428571429,0.66,0.6265822784810127,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,feat
2,0.675,0.6749530956848031,0.6687898089171974,0.6645569620253164,0.6730769230769231,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,feat
3,0.64375,0.6426775612822124,0.62,0.6118421052631579,0.6283783783783784,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,feat
4,0.66875,0.6695992179863148,0.6666666666666667,0.6928104575163399,0.6424242424242425,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,feat
5,0.6375,0.6373411534701857,0.6282051282051282,0.6242038216560509,0.632258064516129,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,feat
6,0.8004910988336402,0.7985765608018356,0.7828991315965265,0.8218793828892006,0.7474489795918368,agaricus_lepiota,0,LR,feat
7,0.809085328422345,0.8090698060023214,0.8040327662255828,0.8253557567917206,0.7837837837837838,agaricus_lepiota,1,LR,feat
8,0.7955801104972375,0.7941316750686751,0.7804878048780488,0.8087431693989071,0.7541401273885351,agaricus_lepiota,2,LR,feat
9,0.7894413750767342,0.7885142087582846,0.7750819672131148,0.7766097240473062,0.7735602094240838,agaricus_lepiota,3,LR,feat
10,0.809085328422345,0.8086144858121802,0.8012779552715654,0.81640625,0.7867001254705144,agaricus_lepiota,4,LR,feat
11,0.7980356046654389,0.7972623795531475,0.7873303167420815,0.8076923076923077,0.7679697351828499,agaricus_lepiota,5,LR,feat
12,0.8646153846153846,0.8655574718937071,0.858974358974359,0.8385481852315394,0.8804204993429697,mushroom,0,LR,feat
13,0.7163076923076923,0.7097985523226322,0.6607799852832965,0.7636054421768708,0.582360570687419,mushroom,1,LR,feat
14,0.6781538461538461,0.6749147533530349,0.6145910095799557,0.7419928825622776,0.5245283018867924,mushroom,2,LR,feat
15,0.707076923076923,0.7028268840586303,0.6540697674418604,0.7627118644067796,0.5725190839694656,mushroom,3,LR,feat
16,0.7058461538461539,0.7041651895416519,0.6531204644412193,0.782608695652174,0.5603985056039851,mushroom,4,LR,feat
17,0.8726153846153846,0.8750148156927817,0.8718266253869968,0.8301886792452831,0.9178617992177314,mushroom,5,LR,feat
18,0.6310810810810811,0.6273230037935921,0.6742243436754176,0.6201975850713501,0.738562091503268,ring,0,LR,feat
19,0.6202702702702703,0.6214824230735514,0.6564792176039119,0.5940265486725663,0.7336065573770492,ring,1,LR,feat
20,0.6074324324324324,0.6066450679737894,0.6437768240343348,0.5932203389830508,0.7037533512064343,ring,2,LR,feat
21,0.6148648648648649,0.6121109789324226,0.6570397111913356,0.6046511627906976,0.7193675889328063,ring,3,LR,feat
22,0.6358108108108108,0.6351686983518239,0.6687154271665643,0.6167800453514739,0.7302013422818792,ring,4,LR,feat
23,0.6006756756756757,0.6041342644459837,0.6385321100917432,0.5698689956331878,0.7260083449235049,ring,5,LR,feat
24,0.7385135135135135,0.7381653557709895,0.7482108002602472,0.7496740547588006,0.7467532467532467,twonorm,0,LR,feat
25,0.7614864864864865,0.7614840021261089,0.7641950567802271,0.7667560321715817,0.7616511318242344,twonorm,1,LR,feat
26,0.7513513513513513,0.7513148667601683,0.7486338797814207,0.7527472527472527,0.7445652173913043,twonorm,2,LR,feat
27,0.7466216216216216,0.7471815848924177,0.7474747474747475,0.7676348547717843,0.7283464566929134,twonorm,3,LR,feat
28,0.7290540540540541,0.7293444587327567,0.730691739422431,0.7148488830486203,0.7472527472527473,twonorm,4,LR,feat
29,0.7425675675675676,0.7429322087452672,0.7370600414078675,0.7628571428571429,0.7129506008010681,twonorm,5,LR,feat
30,0.9583333333333334,0.9560238204306,0.945945945945946,0.945945945945946,0.945945945945946,clean1,0,LR,feat
31,1.0,1.0,1.0,1.0,1.0,clean1,1,LR,feat
32,0.96875,0.9696230598669624,0.963855421686747,0.9523809523809524,0.975609756097561,clean1,2,LR,feat
33,0.9791666666666666,0.98,0.979591836734694,1.0,0.96,clean1,3,LR,feat
34,0.9583333333333334,0.9582608695652174,0.9565217391304348,0.9565217391304348,0.9565217391304348,clean1,4,LR,feat
35,0.9583333333333334,0.9574279379157428,0.951219512195122,0.951219512195122,0.951219512195122,clean1,5,LR,feat
36,0.9467084639498432,0.9422827594524512,0.94061024721633,0.9390562534005156,0.9422827594524512,dna,0,LR,feat
37,0.945141065830721,0.9478119315465128,0.9397068788815538,0.9327875918669624,0.9478119315465128,dna,1,LR,feat
38,0.9482758620689656,0.9452227000053088,0.9395208552006796,0.9345796399367828,0.9452227000053088,dna,2,LR,feat
39,0.962382445141066,0.9600650932887774,0.9589735599379844,0.9579883159348178,0.9600650932887774,dna,3,LR,feat
