,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,iteration,alg,leak,ds
31,0.49374999999999997,0.49375,0.4794104003695848,0.4934455625339986,0.46624999999999994,3,LR,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
32,0.519375,0.519375,0.5164943559524402,0.5197313722000451,0.51375,4,LR,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
33,0.5187499999999999,0.51875,0.5154698684244317,0.5190272348704809,0.5125,4,LR,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
34,0.50125,0.50125,0.49859612592971625,0.5011154669486498,0.49625,5,LR,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
35,0.499375,0.499375,0.49825808256813964,0.49917924815865433,0.49750000000000005,5,LR,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
36,0.50125,0.50125,0.48681157141514203,0.5011526837524178,0.47375,0,NB,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
37,0.50125,0.50125,0.48681157141514203,0.5011526837524178,0.47375,0,NB,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
38,0.520625,0.520625,0.5095122796706006,0.5215171247911088,0.49875,1,NB,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
39,0.520625,0.520625,0.5095122796706006,0.5215171247911088,0.49875,1,NB,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
40,0.506875,0.506875,0.49395212715235515,0.5068853560232871,0.48250000000000004,2,NB,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
41,0.506875,0.506875,0.49395212715235515,0.5068853560232871,0.48250000000000004,2,NB,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
42,0.5062500000000001,0.50625,0.5067300767491615,0.5066988056066155,0.5075000000000001,3,NB,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
43,0.5062500000000001,0.50625,0.5067300767491615,0.5066988056066155,0.5075000000000001,3,NB,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
44,0.510625,0.510625,0.49716254269838445,0.5104992450783908,0.485,4,NB,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
45,0.510625,0.510625,0.49716254269838445,0.5104992450783908,0.485,4,NB,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
46,0.5025,0.5025,0.4936916591388136,0.5028286910088036,0.48624999999999996,5,NB,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
47,0.5025,0.5025,0.4936916591388136,0.5028286910088036,0.48624999999999996,5,NB,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
48,0.49875,0.49875,0.4949307152004257,0.4987809354324767,0.49124999999999996,0,DT,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
49,0.499375,0.499375,0.4952438125572249,0.4994423110938524,0.49124999999999996,0,DT,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
50,0.49624999999999997,0.49624999999999997,0.49918271368814326,0.4962657022458948,0.5025,1,DT,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
51,0.49624999999999997,0.49624999999999997,0.49918271368814326,0.4962657022458948,0.5025,1,DT,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
52,0.50875,0.50875,0.5206489095278087,0.5087146621054631,0.53375,2,DT,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
53,0.51,0.51,0.520638540556013,0.5098895716743904,0.5325,2,DT,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
54,0.519375,0.519375,0.522458376701666,0.518185310214672,0.5275,3,DT,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
55,0.52,0.52,0.5227355146931206,0.5187909138517937,0.5275,3,DT,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
56,0.49124999999999996,0.49124999999999996,0.486157292517084,0.4908019741421842,0.48250000000000004,4,DT,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
57,0.49124999999999996,0.49124999999999996,0.486157292517084,0.4908019741421842,0.48250000000000004,4,DT,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
58,0.5031249999999999,0.503125,0.5103952279613506,0.5026447022309168,0.51875,5,DT,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
59,0.5025,0.5025000000000001,0.5101055590654928,0.5020609755165368,0.51875,5,DT,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
60,0.48812500000000003,0.48812500000000003,0.4535013979672136,0.48702953605731725,0.425,0,RF,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
61,0.484375,0.484375,0.4495698267249991,0.4827084764849595,0.42125,0,RF,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
62,0.47250000000000003,0.47250000000000003,0.45336116480841454,0.4694119585997758,0.4387500000000001,1,RF,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
63,0.475625,0.475625,0.45888390671305246,0.4727261335156072,0.44625000000000004,1,RF,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
64,0.5087499999999999,0.50875,0.4720357793926681,0.510177330558642,0.44,2,RF,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
65,0.515625,0.515625,0.4823806807330263,0.5176162931763704,0.4525,2,RF,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
66,0.49250000000000005,0.49250000000000005,0.4685076738617514,0.4894038723575621,0.45,3,RF,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
67,0.490625,0.49062500000000003,0.46799421012665876,0.4879634732555648,0.44999999999999996,3,RF,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
68,0.49125,0.49125,0.4720109670320318,0.4911436611000925,0.45499999999999996,4,RF,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
69,0.488125,0.488125,0.46984397127020716,0.48834076052604536,0.45375,4,RF,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
70,0.47062500000000007,0.47062500000000007,0.44295525352119836,0.4674295724317904,0.42125000000000007,5,RF,True,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
71,0.47375,0.47375,0.4466654025180782,0.47109852831049787,0.425,5,RF,False,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
72,1.0,1.0,1.0,1.0,1.0,0,KNN,True,agaricus_lepiota
73,1.0,1.0,1.0,1.0,1.0,0,KNN,False,agaricus_lepiota
74,1.0,1.0,1.0,1.0,1.0,1,KNN,True,agaricus_lepiota
75,1.0,1.0,1.0,1.0,1.0,1,KNN,False,agaricus_lepiota
76,0.99987721021611,0.9998723186925433,0.9998722534491569,1.0,0.9997446373850868,2,KNN,True,agaricus_lepiota
77,0.99987721021611,0.9998723186925433,0.9998722534491569,1.0,0.9997446373850868,2,KNN,False,agaricus_lepiota
78,1.0,1.0,1.0,1.0,1.0,3,KNN,True,agaricus_lepiota
79,1.0,1.0,1.0,1.0,1.0,3,KNN,False,agaricus_lepiota
80,1.0,1.0,1.0,1.0,1.0,4,KNN,True,agaricus_lepiota
81,1.0,1.0,1.0,1.0,1.0,4,KNN,False,agaricus_lepiota
82,1.0,1.0,1.0,1.0,1.0,5,KNN,True,agaricus_lepiota
83,1.0,1.0,1.0,1.0,1.0,5,KNN,False,agaricus_lepiota
84,0.9851435211842217,0.9853044587437692,0.9846044270856884,0.9797641017569575,0.9895303933626566,0,SVC,True,agaricus_lepiota
85,0.9851435211842217,0.9853044587437692,0.9846044270856884,0.9797641017569575,0.9895303933626566,0,SVC,False,agaricus_lepiota
86,0.9839164069816451,0.9840288182526391,0.9833277966160382,0.9797240812769199,0.9869791123803966,1,SVC,True,agaricus_lepiota
87,0.9839164069816451,0.9840288182526391,0.9833277966160382,0.9797240812769199,0.9869791123803966,1,SVC,False,agaricus_lepiota
88,0.9840390762061006,0.9841282333103845,0.9834431725847452,0.9804538344685113,0.9864683871505702,2,SVC,True,agaricus_lepiota
89,0.9839162864222107,0.9840005520029278,0.9833128136299994,0.9804488632804707,0.986213024535657,2,SVC,False,agaricus_lepiota
90,0.9829348120671314,0.9829713731916675,0.9822711831053108,0.9806789918265663,0.9839181484646975,3,SVC,True,agaricus_lepiota
91,0.9829348120671314,0.9829713731916675,0.9822711831053108,0.9806789918265663,0.9839181484646975,3,SVC,False,agaricus_lepiota
92,0.9845307778591152,0.984639349401356,0.9839633373656185,0.9804729180136935,0.9874906193325133,4,SVC,True,agaricus_lepiota
93,0.9845307778591152,0.984639349401356,0.9839633373656185,0.9804729180136935,0.9874906193325133,4,SVC,False,agaricus_lepiota
94,0.9823197781127723,0.9823401738577985,0.9816015369851969,0.980403934347241,0.9828922682453983,5,SVC,True,agaricus_lepiota
95,0.9823197781127723,0.9823401738577985,0.9816015369851969,0.980403934347241,0.9828922682453983,5,SVC,False,agaricus_lepiota
96,0.9555550411686358,0.9554047856382878,0.9536632483932623,0.9558774005329724,0.9514907444080798,0,LR,True,agaricus_lepiota
97,0.9555550411686358,0.9554047856382878,0.9536632483932623,0.9558774005329724,0.9514907444080798,0,LR,False,agaricus_lepiota
98,0.9544502345122117,0.9542670302601419,0.9524791369592871,0.9556416854803785,0.9494517521002273,1,LR,True,agaricus_lepiota
99,0.9544502345122117,0.9542670302601419,0.9524791369592871,0.9556416854803785,0.9494517521002273,1,LR,False,agaricus_lepiota
100,0.9551873951735719,0.9550150556606978,0.9532554035814647,0.9561096682829853,0.950474766004461,2,LR,True,agaricus_lepiota
101,0.9553101246777447,0.955142606681106,0.9533905897098776,0.9561194644999039,0.9507298680452774,2,LR,False,agaricus_lepiota
102,0.956538504754382,0.9563630175432978,0.954681966791685,0.9576861777967269,0.951751579079027,3,LR,True,agaricus_lepiota
103,0.9566612342585548,0.956490568563706,0.9548171065682223,0.9576977097805499,0.9520066811198432,3,LR,False,agaricus_lepiota
104,0.9560463208636298,0.9558795162667952,0.9541817954342846,0.9569185556855127,0.951494131871339,4,LR,True,agaricus_lepiota
105,0.9561691106475199,0.9560071975742519,0.9543152343798191,0.9569319139268282,0.9517494944862521,4,LR,False,agaricus_lepiota
106,0.9553109685937851,0.9551427369681544,0.9533882051014032,0.9561001282725304,0.9507301286193742,5,LR,True,agaricus_lepiota
107,0.9553109685937851,0.9551427369681544,0.9533882051014032,0.9561001282725304,0.9507301286193742,5,LR,False,agaricus_lepiota
108,0.9211781212596435,0.9212213425440122,0.9183893914268921,0.9145018489308183,0.922385920660399,0,NB,True,agaricus_lepiota
109,0.9211781212596435,0.9212213425440122,0.9183893914268921,0.9145018489308183,0.922385920660399,0,NB,False,agaricus_lepiota
110,0.9189679654293411,0.9190756563602651,0.9163251413109706,0.9110945873971761,0.9218788434679285,1,NB,True,agaricus_lepiota
111,0.9189679654293411,0.9190756563602651,0.9163251413109706,0.9110945873971761,0.9218788434679285,1,NB,False,agaricus_lepiota
112,0.9216700037518095,0.9216971154689071,0.9188753515149418,0.9154571903844865,0.9223913927164328,2,NB,True,agaricus_lepiota
113,0.9216700037518095,0.9216971154689071,0.9188753515149418,0.9154571903844865,0.9223913927164328,2,NB,False,agaricus_lepiota
114,0.9194596068026384,0.919492942480011,0.9166228822046069,0.9130342695730433,0.9203482312230306,3,NB,True,agaricus_lepiota
115,0.9194596068026384,0.919492942480011,0.9166228822046069,0.9130342695730433,0.9203482312230306,3,NB,False,agaricus_lepiota
116,0.9194599082012243,0.9195297188036204,0.9167008362489064,0.9121424431314756,0.9213678576640053,4,NB,True,agaricus_lepiota
117,0.9194599082012243,0.9195297188036204,0.9167008362489064,0.9121424431314756,0.9213678576640053,4,NB,False,agaricus_lepiota
118,0.9210560548323596,0.9210861934590449,0.9182597960103951,0.9147098033725344,0.9218791040420253,5,NB,True,agaricus_lepiota
119,0.9210560548323596,0.9210861934590449,0.9182597960103951,0.9147098033725344,0.9218791040420253,5,NB,False,agaricus_lepiota
120,1.0,1.0,1.0,1.0,1.0,0,DT,True,agaricus_lepiota
121,1.0,1.0,1.0,1.0,1.0,0,DT,False,agaricus_lepiota
122,1.0,1.0,1.0,1.0,1.0,1,DT,True,agaricus_lepiota
123,1.0,1.0,1.0,1.0,1.0,1,DT,False,agaricus_lepiota
124,1.0,1.0,1.0,1.0,1.0,2,DT,True,agaricus_lepiota
125,1.0,1.0,1.0,1.0,1.0,2,DT,False,agaricus_lepiota
126,1.0,1.0,1.0,1.0,1.0,3,DT,True,agaricus_lepiota
127,1.0,1.0,1.0,1.0,1.0,3,DT,False,agaricus_lepiota
128,1.0,1.0,1.0,1.0,1.0,4,DT,True,agaricus_lepiota
129,1.0,1.0,1.0,1.0,1.0,4,DT,False,agaricus_lepiota
130,1.0,1.0,1.0,1.0,1.0,5,DT,True,agaricus_lepiota
131,1.0,1.0,1.0,1.0,1.0,5,DT,False,agaricus_lepiota
132,1.0,1.0,1.0,1.0,1.0,0,RF,True,agaricus_lepiota
133,1.0,1.0,1.0,1.0,1.0,0,RF,False,agaricus_lepiota
134,1.0,1.0,1.0,1.0,1.0,1,RF,True,agaricus_lepiota
135,1.0,1.0,1.0,1.0,1.0,1,RF,False,agaricus_lepiota
136,1.0,1.0,1.0,1.0,1.0,2,RF,True,agaricus_lepiota
137,1.0,1.0,1.0,1.0,1.0,2,RF,False,agaricus_lepiota
138,1.0,1.0,1.0,1.0,1.0,3,RF,True,agaricus_lepiota
139,1.0,1.0,1.0,1.0,1.0,3,RF,False,agaricus_lepiota
140,1.0,1.0,1.0,1.0,1.0,4,RF,True,agaricus_lepiota
141,1.0,1.0,1.0,1.0,1.0,4,RF,False,agaricus_lepiota
142,1.0,1.0,1.0,1.0,1.0,5,RF,True,agaricus_lepiota
143,1.0,1.0,1.0,1.0,1.0,5,RF,False,agaricus_lepiota
144,1.0,1.0,1.0,1.0,1.0,0,KNN,True,mushroom
145,1.0,1.0,1.0,1.0,1.0,0,KNN,False,mushroom
146,1.0,1.0,1.0,1.0,1.0,1,KNN,True,mushroom
147,1.0,1.0,1.0,1.0,1.0,1,KNN,False,mushroom
148,1.0,1.0,1.0,1.0,1.0,2,KNN,True,mushroom
149,1.0,1.0,1.0,1.0,1.0,2,KNN,False,mushroom
150,1.0,1.0,1.0,1.0,1.0,3,KNN,True,mushroom
151,1.0,1.0,1.0,1.0,1.0,3,KNN,False,mushroom
152,0.9996307237813885,0.9996169560776302,0.999616368286445,1.0,0.9992339121552605,4,KNN,True,mushroom
153,0.9996307237813885,0.9996169560776302,0.999616368286445,1.0,0.9992339121552605,4,KNN,False,mushroom
154,0.9998769079271295,0.9998723186925433,0.9998722534491569,1.0,0.9997446373850868,5,KNN,True,mushroom
155,0.9998769079271295,0.9998723186925433,0.9998722534491569,1.0,0.9997446373850868,5,KNN,False,mushroom
156,0.9714426390940424,0.9711576179619927,0.9701694814046926,0.9772311965758563,0.9632277834525026,0,SVC,True,mushroom
157,0.9714426390940424,0.9711576179619927,0.9701694814046926,0.9772311965758563,0.9632277834525026,0,SVC,False,mushroom
158,0.9727966518956179,0.9726241324467817,0.9716643316350024,0.9755959298841743,0.9678243105209398,1,SVC,True,mushroom
