,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall
0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LR,feat,-0.17499999999999993,-0.17517877378765956,-0.1724430902645533,-0.17964946445959107,-0.1656441717791411
1,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LR,feat,-0.175,-0.1746366619784342,-0.1648697214734951,-0.18500000000000005,-0.14556962025316456
2,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LR,feat,-0.15000000000000002,-0.1499374609130708,-0.14980246714504564,-0.1520569620253165,-0.14743589743589747
3,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LR,feat,-0.17812500000000003,-0.18031112507856695,-0.1996610169491525,-0.19007339778016463,-0.20945945945945948
4,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LR,feat,-0.1343749999999999,-0.13499511241446727,-0.12796697626418985,-0.14217754612393474,-0.11515151515151523
5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,LR,feat,-0.16562499999999997,-0.1647116324535679,-0.1514249424466143,-0.1658704883227176,-0.1354838709677419
6,agaricus_lepiota,LR,feat,0.0,0.0,0.0,0.0,0.0
7,agaricus_lepiota,LR,feat,0.0,0.0,0.0,0.0,0.0
8,agaricus_lepiota,LR,feat,0.0,0.0,0.0,0.0,0.0
9,agaricus_lepiota,LR,feat,0.0,0.0,0.0,0.0,0.0
10,agaricus_lepiota,LR,feat,0.0,0.0,0.0,0.0,0.0
11,agaricus_lepiota,LR,feat,0.0,0.0,0.0,0.0,0.0
12,mushroom,LR,feat,0.0,0.0,0.0,0.0,0.0
13,mushroom,LR,feat,0.0,0.0,0.0,0.0,0.0
14,mushroom,LR,feat,0.0,0.0,0.0,0.0,0.0
15,mushroom,LR,feat,0.0,0.0,0.0,0.0,0.0
16,mushroom,LR,feat,0.0,0.0,0.0,0.0,0.0
17,mushroom,LR,feat,0.0,0.0,0.0,0.0,0.0
18,ring,LR,feat,-0.014864864864864824,-0.015156085744321035,-0.010717234670678422,-0.013480358635813872,-0.0065359477124183885
19,ring,LR,feat,-0.002027027027027062,-0.0022391221764415103,-0.008066025320153325,0.0014020227560050946,-0.021857923497267784
20,ring,LR,feat,0.0,0.0,0.0,0.0,0.0
21,ring,LR,feat,0.0,0.0,0.0,0.0,0.0
22,ring,LR,feat,-0.01621621621621616,-0.016253481258275082,-0.013057934811824157,-0.014532854340237988,-0.010738255033556965
23,ring,LR,feat,-0.0060810810810810745,-0.005836511873148487,-0.0026097799946557254,-0.0058216328775365644,0.0027816411682892728
24,twonorm,LR,feat,0.0,0.0,0.0,0.0,0.0
25,twonorm,LR,feat,-0.020270270270270285,-0.020093921410684112,-0.02315381269638661,-0.014008779424328988,-0.031957390146471365
26,twonorm,LR,feat,-0.010810810810810811,-0.010745383356708826,-0.007743191522311288,-0.016822319771381378,0.0013586956521739468
27,twonorm,LR,feat,-0.015540540540540548,-0.01589608053867919,-0.012454774105905897,-0.021688908825838293,-0.003937007874015741
28,twonorm,LR,feat,0.0,0.0,0.0,0.0,0.0
29,twonorm,LR,feat,-0.004054054054054124,-0.0044327228826761544,0.004077082337951898,-0.020229797012638828,0.026702269692923886
30,clean1,LR,feat,-0.01041666666666674,-0.008474576271186418,-0.012612612612612817,-0.02489331436699882,0.0
31,clean1,LR,feat,-0.01041666666666663,-0.008333333333333193,-0.013698630136986245,-0.027027027027026973,0.0
32,clean1,LR,feat,0.0,0.0,0.0,0.0,0.0
33,clean1,LR,feat,0.0,0.0,0.0,0.0,0.0
34,clean1,LR,feat,0.0,0.0,0.0,0.0,0.0
35,clean1,LR,feat,0.03125,0.0303769401330376,0.03643480879253236,0.04878048780487798,0.024390243902438935
36,dna,LR,feat,0.0,0.0,0.0,0.0,0.0
37,dna,LR,feat,0.0,0.0,0.0,0.0,0.0
38,dna,LR,feat,0.0,0.0,0.0,0.0,0.0
39,dna,LR,feat,0.0,0.0,0.0,0.0,0.0
40,dna,LR,feat,0.0,0.0,0.0,0.0,0.0
41,dna,LR,feat,-0.00783699059561116,-0.00962481127443815,-0.009936841300071442,-0.010054848706177788,-0.00962481127443815
42,phoneme,LR,feat,0.0,0.0,0.0,0.0,0.0
43,phoneme,LR,feat,0.0,0.0,0.0,0.0,0.0
44,phoneme,LR,feat,0.0,0.0,0.0,0.0,0.0
45,phoneme,LR,feat,0.0,0.0,0.0,0.0,0.0
46,phoneme,LR,feat,0.0,0.0,0.0,0.0,0.0
47,phoneme,LR,feat,0.0,0.0,0.0,0.0,0.0
48,mfeat_pixel,LR,feat,0.0,0.0,0.0,0.0,0.0
49,mfeat_pixel,LR,feat,0.01750000000000007,0.014926665475445966,0.015740977729424732,0.019394742250046115,0.014926665475445966
50,mfeat_pixel,LR,feat,-0.007499999999999951,-0.007131995586175832,-0.007451913815997746,-0.005005363369284144,-0.007131995586175832
51,mfeat_pixel,LR,feat,0.0,0.0,0.0,0.0,0.0
52,mfeat_pixel,LR,feat,0.03249999999999997,0.03658730158730139,0.0411403837186235,0.032627720825640805,0.03658730158730139
53,mfeat_pixel,LR,feat,0.025000000000000022,0.031772088855547165,0.028849113282504613,0.026487486560679008,0.031772088855547165
54,banana,LR,feat,0.0018867924528301883,0.004981752674424134,0.0772283272283272,-0.15438596491228063,0.0449897750511248
55,banana,LR,feat,0.0,0.0,0.0,0.0,0.0
56,banana,LR,feat,0.0,0.0,0.0,0.0,0.0
57,banana,LR,feat,0.0,0.0,0.0,0.0,0.0
58,banana,LR,feat,0.0,0.0,0.0,0.0,0.0
59,banana,LR,feat,0.0,0.0,0.0,0.0,0.0
60,mfeat_factors,LR,feat,0.0050000000000000044,0.005887641333865434,0.006182261445782045,0.0061752024509835746,0.005887641333865434
61,mfeat_factors,LR,feat,0.0,0.0,0.0,0.0,0.0
62,mfeat_factors,LR,feat,0.0,0.0,0.0,0.0,0.0
63,mfeat_factors,LR,feat,0.0,0.0,0.0,0.0,0.0
