,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,imputer,perc-miss
29,0.505,0.505,0.4653691384944149,0.5049797959502601,0.4325,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,KNN,False,KNN,0.05
30,0.51,0.51,0.471005789841916,0.5115117014547754,0.4375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,KNN,True,KNN,0.05
31,0.511875,0.511875,0.4723697400543598,0.5134292915062146,0.43875000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,KNN,False,KNN,0.05
32,0.49687499999999996,0.49687499999999996,0.4540189933799679,0.4953113063407181,0.42125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,KNN,True,KNN,0.05
33,0.4975,0.4975,0.45732807564356703,0.49638678527066554,0.42625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,KNN,False,KNN,0.05
34,0.5125,0.5125,0.4657709261802981,0.5133292990542052,0.43,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,KNN,True,KNN,0.05
35,0.50875,0.50875,0.46146271325697164,0.5103523198789582,0.42375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,KNN,False,KNN,0.05
36,0.489375,0.489375,0.4825558298975344,0.48910219038986663,0.47625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,SVC,True,mean,0.05
37,0.48749999999999993,0.4875,0.48094823481053633,0.4871005585046996,0.475,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,SVC,False,mean,0.05
38,0.499375,0.499375,0.4905821147350252,0.4995439604827918,0.48250000000000004,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,SVC,True,mean,0.05
39,0.49875,0.49874999999999997,0.4896652443193772,0.49893437270215135,0.48125000000000007,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,SVC,False,mean,0.05
40,0.498125,0.49812500000000004,0.49858249581708514,0.4971642090368867,0.50125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,SVC,True,mean,0.05
41,0.49874999999999997,0.49875,0.49888515925534177,0.49773445440848735,0.50125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,SVC,False,mean,0.05
42,0.49750000000000005,0.49750000000000005,0.48595537031428154,0.49769971326831774,0.47500000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,SVC,True,mean,0.05
43,0.496875,0.496875,0.485672482250172,0.49716630434652115,0.47500000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,SVC,False,mean,0.05
44,0.509375,0.509375,0.5039683887761832,0.5097083685528243,0.49875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,SVC,True,mean,0.05
45,0.509375,0.509375,0.5039906533860347,0.5097789140123874,0.49875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,SVC,False,mean,0.05
46,0.49187499999999995,0.49187499999999995,0.4882948928138222,0.4917625338442705,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,SVC,True,mean,0.05
47,0.493125,0.49312500000000004,0.48959322836570257,0.4930915927361802,0.48624999999999996,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,SVC,False,mean,0.05
48,0.49312500000000004,0.49312500000000004,0.4856127916847604,0.4927562026591821,0.47875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,SVC,True,median,0.05
49,0.49312500000000004,0.49312500000000004,0.4862409001808892,0.49272990347971646,0.48,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,SVC,False,median,0.05
50,0.500625,0.500625,0.49018341876314014,0.5012081654290195,0.48,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,SVC,True,median,0.05
51,0.5,0.5,0.48916515708489294,0.5004821854717763,0.47875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,SVC,False,median,0.05
52,0.49875,0.49875,0.4981703161044871,0.49784872663241825,0.5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,SVC,True,median,0.05
53,0.49812500000000004,0.49812500000000004,0.497874415926234,0.4971672816406284,0.5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,SVC,False,median,0.05
54,0.495625,0.49562500000000004,0.4822072116526279,0.4955219296987773,0.47,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,SVC,True,median,0.05
55,0.495625,0.495625,0.4822513086424286,0.4955000165212794,0.47000000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,SVC,False,median,0.05
56,0.51125,0.51125,0.5034385845572877,0.5116171741227331,0.49624999999999997,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,SVC,True,median,0.05
57,0.51125,0.51125,0.5041055695864902,0.5116364531449091,0.49750000000000005,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,SVC,False,median,0.05
58,0.501875,0.5018750000000001,0.4989916280303662,0.5018507239042584,0.49625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,SVC,True,median,0.05
59,0.5,0.5,0.4967389584243781,0.4998411693120691,0.49375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,SVC,False,median,0.05
60,0.493125,0.493125,0.4844308378600016,0.4929022165393586,0.47625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,SVC,True,KNN,0.05
61,0.49125,0.49125,0.48736197458376973,0.4911024043139343,0.48375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,SVC,False,KNN,0.05
62,0.49187499999999995,0.49187499999999995,0.48260489881671065,0.4921879374476691,0.47375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,SVC,True,KNN,0.05
