,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
0,0.5455,0.5423044615066855,0.534896166617693,0.537093890204331,0.5423044615066855,mnist,0,KNN,True,1
1,0.5594285714285714,0.5559462543939451,0.5496501092924454,0.5521182448203462,0.5559462543939451,mnist,0,KNN,False,1
2,0.5475714285714286,0.5407070075520848,0.532718386859028,0.533632484199095,0.5407070075520848,mnist,1,KNN,True,1
3,0.5457142857142857,0.5387685644509125,0.5307348031934882,0.5321122215899405,0.5387685644509125,mnist,1,KNN,False,1
4,0.5462857142857143,0.5401961210989065,0.5324853142890122,0.5339749418211713,0.5401961210989065,mnist,2,KNN,True,1
5,0.5462857142857143,0.5401961210989065,0.5324853142890122,0.5339749418211713,0.5401961210989065,mnist,2,KNN,False,1
6,0.544,0.5368442485638565,0.5309040458155965,0.5327452655159932,0.5368442485638565,mnist,3,KNN,True,1
7,0.544,0.5368442485638565,0.5309040458155965,0.5327452655159932,0.5368442485638565,mnist,3,KNN,False,1
8,0.5417142857142857,0.5346251778241509,0.526988490578773,0.5289890752364383,0.5346251778241509,mnist,4,KNN,True,1
9,0.5417142857142857,0.5346251778241509,0.526988490578773,0.5289890752364383,0.5346251778241509,mnist,4,KNN,False,1
10,0.5504285714285714,0.5461269223099561,0.5383562583620981,0.5395150321750679,0.5461269223099561,mnist,5,KNN,True,1
11,0.567,0.5629567929697162,0.5566147005670994,0.5590267712159182,0.5629567929697162,mnist,5,KNN,False,1
12,0.8081428571428572,0.8065688212967096,0.8057555518319719,0.8070603737677751,0.8065688212967096,mnist,0,KNN,True,5
13,0.8058571428571428,0.8043446177239721,0.8034756239747434,0.8044504086191399,0.8043446177239721,mnist,0,KNN,False,5
14,0.8135,0.809443601612706,0.8091565035601598,0.8104606203701854,0.809443601612706,mnist,1,KNN,True,5
15,0.8122142857142857,0.8081713468234828,0.8078345210146802,0.8091307388968882,0.8081713468234828,mnist,1,KNN,False,5
16,0.8127142857142857,0.8098870406300287,0.8092497846756386,0.8102203855092729,0.8098870406300287,mnist,2,KNN,True,5
17,0.8117857142857143,0.8088417958766382,0.8082173428300866,0.8091452678130151,0.8088417958766382,mnist,2,KNN,False,5
18,0.8183571428571429,0.8150134168852257,0.8148675998160266,0.81635985439772,0.8150134168852257,mnist,3,KNN,True,5
19,0.8140714285714286,0.81043716619567,0.8103262032611541,0.8118961351426046,0.81043716619567,mnist,3,KNN,False,5
20,0.8202857142857143,0.8164881759624528,0.8160501620078937,0.8171424305992646,0.8164881759624528,mnist,4,KNN,True,5
21,0.8200714285714286,0.816249916527628,0.8158255529140831,0.8168763794146023,0.816249916527628,mnist,4,KNN,False,5
22,0.8157142857142857,0.8131484518473584,0.8126204933462551,0.8136496494535705,0.8131484518473584,mnist,5,KNN,True,5
