Unnamed: 0,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
30,0.64375,0.6426775612822124,0.62,0.6118421052631579,0.6283783783783784,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,True,10
31,0.465625,0.4623664362036455,0.4203389830508475,0.4217687074829932,0.4189189189189189,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,False,10
32,0.66875,0.6695992179863148,0.6666666666666667,0.6928104575163399,0.6424242424242425,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,True,10
33,0.534375,0.5346041055718476,0.5386996904024769,0.5506329113924051,0.5272727272727272,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,False,10
34,0.6375,0.6373411534701857,0.6282051282051282,0.6242038216560509,0.632258064516129,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,True,10
35,0.471875,0.4726295210166178,0.4767801857585139,0.4583333333333333,0.4967741935483871,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,False,10
36,0.7458563535911602,0.7387777744233788,0.6755485893416927,0.8760162601626016,0.5497448979591837,agaricus_lepiota,0,LR,True,1
37,0.7458563535911602,0.7387777744233788,0.6755485893416927,0.8760162601626016,0.5497448979591837,agaricus_lepiota,0,LR,False,1
38,0.7538367096378146,0.7537209267270617,0.6964420893262679,0.9072978303747534,0.5651105651105651,agaricus_lepiota,1,LR,True,1
39,0.7538367096378146,0.7537209267270617,0.6964420893262679,0.9072978303747534,0.5651105651105651,agaricus_lepiota,1,LR,False,1
40,0.761817065684469,0.7553596763968968,0.7001545595054095,0.8899803536345776,0.5770700636942675,agaricus_lepiota,2,LR,True,1
41,0.761817065684469,0.7553596763968968,0.7001545595054095,0.8899803536345776,0.5770700636942675,agaricus_lepiota,2,LR,False,1
42,0.7532228360957642,0.7417251762854462,0.6789137380191693,0.8709016393442623,0.556282722513089,agaricus_lepiota,3,LR,True,1
